brokerage,buy_time,buy_value,date,net_pnl,pnl,sell_time,sell_value,strategy,symbol,tax,traded_qty
0.0,09:15:46,4179.95,2024-01-10T00:00:00Z,3.13,4.65,15:10:23,4184.6,MEAN_REVERSION,SIEMENS,1.52,1
0.0,09:15:49,4946.4,2024-01-10T00:00:00Z,-118.76,-117.0,12:06:07,4829.4,SWING_STOCHASTIC_RSI,GRANULES,1.76,12
0.0,09:15:27,4979.7,2024-01-11T00:00:00Z,16.88,18.7,15:10:24,4998.4,SWING_STOCHASTIC_RSI,CANBK,1.82,11
0.0,09:37:14,4617.6,2024-01-11T00:00:00Z,-45.77,-44.1,15:10:24,4573.5,SWING_STOCHASTIC_RSI,SBICARD,1.67,6
0.0,09:15:55,4960.8,2024-01-11T00:00:00Z,-27.8,-26.0,15:10:24,4934.8,SWING_STOCHASTIC_RSI,PNB,1.8,52
0.0,09:16:01,3373.4,2024-01-11T00:00:00Z,-54.01,-52.8,14:22:39,3320.6,SWING_STOCHASTIC_RSI,BAJAJFINSV,1.21,2
0.0,15:10:24,5721.2,2024-01-11T00:00:00Z,134.88,137.0,10:15:18,5858.2,INTRADAY_GAP_UP,HAVELLS,2.12,4
0.0,09:15:28,3733.0,2024-01-11T00:00:00Z,-41.54,-40.2,15:09:22,3692.8,SWING_STOCHASTIC_RSI,TITAN,1.34,1
0.0,09:15:46,3998.85,2024-01-11T00:00:00Z,-19.45,-18.0,15:10:24,3980.85,MEAN_REVERSION,CIPLA,1.45,3
0.0,14:30:45,9450.0,2024-01-12T00:00:00Z,-9.43,-6.0,15:10:23,9444.0,SWING_STOCHASTIC_RSI,AUBANK,3.43,12
0.0,09:15:47,4684.55,2024-01-12T00:00:00Z,-34.19,-32.5,15:10:24,4652.05,MEAN_REVERSION,TATAPOWER,1.69,13
0.0,09:15:47,4935.1,2024-01-12T00:00:00Z,-4.09,-2.3,15:10:24,4932.8,MEAN_REVERSION,TORNTPHARM,1.79,2
0.0,09:15:38,8788.95,2024-01-12T00:00:00Z,285.32,288.6,09:43:52,9077.55,SWING_STOCHASTIC_RSI,OFSS,3.28,2
0.0,13:27:56,9946.8,2024-01-12T00:00:00Z,-12.41,-8.8,15:10:24,9938.0,SWING_STOCHASTIC_RSI,CHOLAFIN,3.61,8
0.0,09:15:47,4904.55,2024-01-12T00:00:00Z,-103.0,-101.25,15:10:24,4803.3,MEAN_REVERSION,GUJGASLTD,1.75,9
0.0,09:15:47,4335.35,2024-01-12T00:00:00Z,41.16,42.75,15:10:24,4378.1,MEAN_REVERSION,HEROMOTOCO,1.59,1
0.0,09:15:47,4876.3,2024-01-12T00:00:00Z,72.46,74.25,15:10:24,4950.55,MEAN_REVERSION,HINDPETRO,1.79,11
0.0,09:15:47,4180.7,2024-01-12T00:00:00Z,-23.41,-21.9,15:10:24,4158.8,MEAN_REVERSION,TVSMOTOR,1.51,2
0.0,09:15:47,4741.8,2024-01-12T00:00:00Z,-23.77,-22.05,15:10:24,4719.75,MEAN_REVERSION,EXIDEIND,1.72,14
0.0,09:15:47,4870.8,2024-01-12T00:00:00Z,-47.66,-45.9,15:10:24,4824.9,MEAN_REVERSION,ABCAPITAL,1.76,27
0.0,14:19:00,6557.75,2024-01-12T00:00:00Z,-63.37,-61.0,10:15:18,6496.75,INTRADAY_GAP_UP,TECHM,2.37,5
0.0,09:15:47,4203.8,2024-01-12T00:00:00Z,15.47,17.0,15:10:24,4220.8,MEAN_REVERSION,VOLTAS,1.53,4
0.0,09:15:47,4565.6,2024-01-12T00:00:00Z,13.24,14.9,15:10:24,4580.5,MEAN_REVERSION,SHRIRAMFIN,1.66,2
0.0,15:10:23,6396.0,2024-01-15T00:00:00Z,-8.82,-6.5,10:15:18,6389.5,INTRADAY_GAP_UP,SBIN,2.32,10
0.0,15:10:23,9262.0,2024-01-15T00:00:00Z,34.62,38.0,09:30:39,9300.0,SWING_STOCHASTIC_RSI,MFSL,3.38,10
0.0,09:15:46,4920.3,2024-01-16T00:00:00Z,20.26,22.05,15:10:23,4942.35,MEAN_REVERSION,ONGC,1.79,21
0.0,09:15:46,4770.5,2024-01-16T00:00:00Z,-145.69,-144.0,13:15:21,4626.5,MEAN_REVERSION,INDHOTEL,1.69,10
